Start,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
1M,75.8,107.6,110.9,115.3,118.3,116.7,115.1,114.1,113,112,106.8,101.1,97.9,94.6
3M,82.3,115.4,116.7,117.2,117.2,115.4,114,112.9,112.5,111.9,106.6,101.3,98.1,95.8
6M,95.4,116.8,116.2,115,114.2,112.4,110.3,108.9,108.6,107.6,102.3,97.3,94.3,92.5
1Y,116.7,118.9,116.2,112.7,110.3,108.2,105.9,104.2,103.7,102.6,96.8,91.7,88.8,87.1
2Y,117.2,115.1,111.9,108.7,106.2,104.1,101.7,100.5,99.5,98.2,92.3,87.3,83.8,82.4
3Y,111.5,109.6,106.7,103.8,101.6,99.8,97.4,96.5,95.1,93.7,87.9,83,79.7,78.4
4Y,106.8,104.8,102,99.4,97.5,95.8,93.8,92.6,91.1,89.6,84,79.4,76.1,75
5Y,102.8,100.2,97.9,95.5,94.1,92.4,90.8,89.4,88,86.6,81.1,76.6,73.5,72.5
7Y,93.5,91.2,89.6,88.1,86.7,85.3,83.9,82.7,81.5,80.3,75.1,71.3,68.5,67.6
10Y,82.9,81.5,80,78.7,77.6,76.5,75.3,74.3,73.3,72.3,67.5,63.9,61.7,61.1
15Y,71.7,69.7,68.5,67.5,66.7,65.9,65,64.2,63.4,62.6,58.9,56.6,55.1,54.7
20Y,63.1,62.3,61.2,60.3,59.4,58.9,58.4,57.6,56.7,55.9,53,51.3,50.3,50
25Y,59.8,58.6,57.7,57,56.3,55.7,55.2,54.4,53.6,52.8,50.3,48.9,48.1,47.9
30Y,56.1,54.8,54.5,54.2,53.8,53.2,52.6,51.7,50.8,49.8,47.7,46.5,46,45.8
