Date,Open,High,Low,Last,Volume,Status
1/2/1986,8.125,1,,,,
1/3/1986,8.125,1,,,,
1/6/1986,8.1875,1,,,,
1/7/1986,8.125,1,,,,
1/8/1986,8,1,,,,
1/9/1986,8.1875,1,,,,
1/10/1986,8.25,1,,,,
1/13/1986,8.3125,1,,,,
1/14/1986,8.375,1,,,,
1/15/1986,8.25,1,,,,
1/16/1986,8.1875,1,,,,
1/17/1986,8.1875,1,,,,
1/20/1986,8.25,1,,,,
1/21/1986,8.1875,1,,,,
1/22/1986,8.1875,1,,,,
1/23/1986,8.1875,1,,,,
1/24/1986,8.1875,1,,,,
1/27/1986,8.125,1,,,,
1/28/1986,8.0625,1,,,,
1/29/1986,8.0625,1,,,,
1/30/1986,8.0625,1,,,,
1/31/1986,8.0625,1,,,,
2/3/1986,8.0625,1,,,,
2/4/1986,8.0313,1,,,,
2/5/1986,8,1,,,,
2/6/1986,8,1,,,,
2/7/1986,8,1,,,,
2/10/1986,8.0625,1,,,,
2/11/1986,8.0313,1,,,,
2/12/1986,8.0625,1,,,,
2/13/1986,8.0625,1,,,,
2/14/1986,8,1,,,,
2/17/1986,8,1,,,,
2/18/1986,8,1,,,,
2/19/1986,8,1,,,,
2/20/1986,8,1,,,,
2/21/1986,8,1,,,,
2/24/1986,8,1,,,,
2/25/1986,7.9375,1,,,,
2/26/1986,8,1,,,,
2/27/1986,7.9688,1,,,,
2/28/1986,7.9375,1,,,,
3/3/1986,7.9375,1,,,,
3/4/1986,7.9063,1,,,,
3/5/1986,7.8125,1,,,,
3/6/1986,7.8125,1,,,,
3/7/1986,7.6563,1,,,,
3/10/1986,7.5625,1,,,,
3/11/1986,7.5,1,,,,
3/12/1986,7.5,1,,,,
3/13/1986,7.5625,1,,,,
3/14/1986,7.5625,1,,,,
3/17/1986,7.5625,1,,,,
3/18/1986,7.625,1,,,,
3/19/1986,7.6875,1,,,,
3/20/1986,7.6875,1,,,,
3/21/1986,7.625,1,,,,
3/24/1986,7.625,1,,,,
3/25/1986,7.625,1,,,,
3/26/1986,7.5625,1,,,,
3/27/1986,7.5,1,,,,
4/1/1986,7.4375,1,,,,
4/2/1986,7.4375,1,,,,
4/3/1986,7.4375,1,,,,
4/4/1986,7.5,1,,,,
4/7/1986,7.4063,1,,,,
4/8/1986,7.1875,1,,,,
4/9/1986,6.875,1,,,,
4/10/1986,6.9375,1,,,,
4/11/1986,6.9375,1,,,,
4/14/1986,6.9375,1,,,,
4/15/1986,6.9375,1,,,,
4/16/1986,6.875,1,,,,
4/17/1986,6.6875,1,,,,
4/18/1986,6.6875,1,,,,
4/21/1986,6.8125,1,,,,
4/22/1986,6.875,1,,,,
4/23/1986,7,1,,,,
4/24/1986,7,1,,,,
4/25/1986,7,1,,,,
4/28/1986,7,1,,,,
4/29/1986,6.9375,1,,,,
4/30/1986,6.9375,1,,,,
5/1/1986,7,1,,,,
5/2/1986,7,1,,,,
5/6/1986,6.9375,1,,,,
5/7/1986,6.9375,1,,,,
5/8/1986,6.9375,1,,,,
5/9/1986,6.9375,1,,,,
5/12/1986,7,1,,,,
5/13/1986,7.0625,1,,,,
5/14/1986,7,1,,,,
5/15/1986,7.0625,1,,,,
5/16/1986,7.125,1,,,,
5/19/1986,7.125,1,,,,
5/20/1986,7.1563,1,,,,
5/21/1986,7.0625,1,,,,
5/22/1986,7.0625,1,,,,
5/23/1986,7.0625,1,,,,
5/27/1986,7,1,,,,
5/28/1986,7,1,,,,
5/29/1986,7.0625,1,,,,
5/30/1986,7.125,1,,,,
6/2/1986,7.125,1,,,,
6/3/1986,7.1875,1,,,,
6/4/1986,7.1875,1,,,,
6/5/1986,7.1875,1,,,,
6/6/1986,7.1875,1,,,,
6/9/1986,7.0625,1,,,,
6/10/1986,7.125,1,,,,
6/11/1986,7.125,1,,,,
6/12/1986,7.125,1,,,,
6/13/1986,7.125,1,,,,
6/16/1986,7.0625,1,,,,
6/17/1986,7.0625,1,,,,
6/18/1986,7.0625,1,,,,
6/19/1986,7.0625,1,,,,
6/20/1986,7.0625,1,,,,
6/23/1986,7.0625,1,,,,
6/24/1986,7.0625,1,,,,
6/25/1986,7.0625,1,,,,
6/26/1986,7.0625,1,,,,
6/27/1986,7.0625,1,,,,
6/30/1986,7.0313,1,,,,
7/1/1986,7,1,,,,
7/2/1986,7,1,,,,
7/3/1986,7,1,,,,
7/4/1986,6.9375,1,,,,
7/7/1986,6.9375,1,,,,
7/8/1986,6.9375,1,,,,
7/9/1986,7,1,,,,
7/10/1986,6.875,1,,,,
7/11/1986,6.6875,1,,,,
7/14/1986,6.6875,1,,,,
7/15/1986,6.5625,1,,,,
7/16/1986,6.5625,1,,,,
7/17/1986,6.5938,1,,,,
7/18/1986,6.625,1,,,,
7/21/1986,6.5625,1,,,,
7/22/1986,6.5625,1,,,,
7/23/1986,6.5625,1,,,,
7/24/1986,6.625,1,,,,
7/25/1986,6.625,1,,,,
7/28/1986,6.625,1,,,,
7/29/1986,6.625,1,,,,
7/30/1986,6.5625,1,,,,
7/31/1986,6.5625,1,,,,
8/1/1986,6.4375,1,,,,
8/4/1986,6.5,1,,,,
8/5/1986,6.5,1,,,,
8/6/1986,6.5,1,,,,
8/7/1986,6.5,1,,,,
8/8/1986,6.4688,1,,,,
8/11/1986,6.4375,1,,,,
8/12/1986,6.4375,1,,,,
8/13/1986,6.375,1,,,,
8/14/1986,6.25,1,,,,
8/15/1986,6.2813,1,,,,
8/18/1986,6.3125,1,,,,
8/19/1986,6.3125,1,,,,
8/20/1986,6.25,1,,,,
8/21/1986,6,1,,,,
8/22/1986,6,1,,,,
8/26/1986,5.9375,1,,,,
8/27/1986,5.875,1,,,,
8/28/1986,5.9375,1,,,,
8/29/1986,5.9375,1,,,,
9/1/1986,5.8125,1,,,,
9/2/1986,5.8125,1,,,,
9/3/1986,5.9375,1,,,,
9/4/1986,6,1,,,,
9/5/1986,5.9375,1,,,,
9/8/1986,6.0313,1,,,,
9/9/1986,6.0625,1,,,,
9/10/1986,6.0156,1,,,,
